Departamento,Estado_Físico_de_Producción,Año,Área_cosechada_(ha),Producción_(t)
Meta,leguminosa fresca,2018.0,2.0,4.0
Meta,paddy verde,2018.0,1692.483870967742,8790.838709677419
Meta,panela,2018.0,79.05555555555556,354.94444444444446
Meta,tuberculo fresco,2018.0,326.25,6378.571428571428
Nariño,aceite crudo,2018.0,8801.0,8801.5
Nariño,cafe verde equivalente,2018.0,880.7105263157895,938.8947368421053
Nariño,fibra seca,2018.0,257.75,338.0416666666667
Nariño,flor fresca,2018.0,6.6,28.6
Nariño,fruto fresco,2018.0,160.86706948640483,935.3564954682779
Nariño,grano seco,2018.0,222.89814814814815,246.1435185185185
Nariño,hoja fresca,2018.0,6.111111111111111,19.77777777777778
Nariño,hortaliza fresca,2018.0,45.8125,1129.3541666666667
Nariño,leguminosa fresca,2018.0,70.92307692307692,173.53846153846155
Nariño,paddy verde,2018.0,105.45454545454545,223.8181818181818
Nariño,panela,2018.0,378.53333333333336,2825.733333333333
Nariño,tuberculo fresco,2018.0,178.0857142857143,3188.4714285714285
Norte de santander,aceite crudo,2018.0,6506.2,22056.0
Norte de santander,cafe verde equivalente,2018.0,579.8888888888889,651.9722222222222
Norte de santander,fibra seca,2018.0,6.0,16.0
Norte de santander,fruto fresco,2018.0,64.3855421686747,584.7469879518072
Norte de santander,grano seco,2018.0,143.8421052631579,198.81578947368422
Norte de santander,hoja fresca,2018.0,3.25,11.75
Norte de santander,hoja seca,2018.0,128.0,168.5
Norte de santander,hortaliza fresca,2018.0,42.679611650485434,1067.8640776699028
Norte de santander,leguminosa fresca,2018.0,2.0,20.0
Norte de santander,paddy verde,2018.0,2221.3333333333335,13158.111111111111
Norte de santander,panela,2018.0,271.7,1343.7
Norte de santander,tuberculo fresco,2018.0,184.21212121212122,2782.3333333333335
Putumayo,cafe verde equivalente,2018.0,210.0,289.0
Putumayo,fruto fresco,2018.0,243.24528301886792,964.2641509433962
Putumayo,grano seco,2018.0,370.04,319.68
Putumayo,latex seco,2018.0,61.42857142857143,39.57142857142857
Putumayo,paddy verde,2018.0,168.0,327.0
Putumayo,panela,2018.0,155.0,348.1111111111111
Putumayo,semilla oleaginosa,2018.0,27.0,63.42857142857143
Putumayo,tuberculo fresco,2018.0,138.5,893.5625
Quindio,cafe verde equivalente,2018.0,1364.5833333333333,1478.1666666666667
Quindio,caña para molienda,2018.0,200.0,31195.0
Quindio,flor fresca,2018.0,3.0,22.0
Quindio,follaje fresco,2018.0,2.0,8.0
Quindio,fruto fresco,2018.0,395.72,5409.88
Quindio,grano seco,2018.0,38.53125,72.0625
Quindio,hoja fresca,2018.0,4.785714285714286,70.64285714285714
Quindio,hortaliza fresca,2018.0,8.26923076923077,473.2307692307692
Quindio,leguminosa fresca,2018.0,3.6,31.2
Quindio,panela,2018.0,50.285714285714285,318.0
Quindio,tuberculo fresco,2018.0,15.8,233.86666666666667
Risaralda,cafe verde equivalente,2018.0,2562.4285714285716,3280.0
Risaralda,caña para molienda,2018.0,431.2,67291.2
Risaralda,fibra seca,2018.0,56.0,57.5
Risaralda,fruto fresco,2018.0,246.47252747252747,2779.6813186813188
Risaralda,grano seco,2018.0,88.8,166.71428571428572
Risaralda,hoja fresca,2018.0,24.7,924.1
Risaralda,hongo fresco,2018.0,1.0,78.0
Risaralda,hortaliza fresca,2018.0,10.176470588235293,404.11764705882354
Risaralda,leguminosa fresca,2018.0,9.0,93.0
Risaralda,panela,2018.0,280.25,2037.3333333333333
Risaralda,tuberculo fresco,2018.0,22.4,219.2
San andres y providencia,fruto fresco,2018.0,1.0,15.909090909090908
San andres y providencia,grano seco,2018.0,0.5,1.0
San andres y providencia,hortaliza fresca,2018.0,0.5,4.5
San andres y providencia,melaza,2018.0,1.0,55.0
San andres y providencia,tuberculo fresco,2018.0,1.4,11.4
Santander,aceite crudo,2018.0,9850.75,29093.375
Santander,cafe verde equivalente,2018.0,563.6133333333333,745.6266666666667
Santander,fibra seca,2018.0,112.0,172.875
Santander,forraje fresco,2018.0,8.0,200.0
Santander,fruto fresco,2018.0,161.66037735849056,3034.533692722372
Santander,grano seco,2018.0,263.2072072072072,185.9099099099099
Santander,hoja fresca,2018.0,12.5,24.75
Santander,hoja seca,2018.0,90.65217391304348,136.69565217391303
Santander,hortaliza fresca,2018.0,30.06923076923077,630.6538461538462
Santander,latex seco,2018.0,466.64285714285717,590.0714285714286
Santander,leguminosa fresca,2018.0,24.428571428571427,217.61904761904762
Santander,paddy verde,2018.0,432.3333333333333,2551.6666666666665
Santander,panela,2018.0,456.29545454545456,4436.431818181818
Santander,tuberculo fresco,2018.0,110.92307692307692,1386.5576923076924
Sucre,aceite crudo,2018.0,606.0,2309.0
Sucre,fibra seca,2018.0,69.0,14.0
Sucre,fruto fresco,2018.0,63.13483146067416,451.64044943820227
Sucre,grano seco,2018.0,229.2,499.7
Sucre,hoja seca,2018.0,139.35714285714286,416.7142857142857
Sucre,hortaliza fresca,2018.0,55.6,217.3
Sucre,leguminosa fresca,2018.0,15.5,64.5
Sucre,paddy verde,2018.0,796.08,2705.6
Sucre,panela,2018.0,38.857142857142854,212.85714285714286
Sucre,tuberculo fresco,2018.0,320.1358024691358,3232.7654320987654
Tolima,cafe verde equivalente,2018.0,2560.6315789473683,2564.4736842105262
Tolima,fibra seca,2018.0,10.0,14.0
Tolima,forraje fresco,2018.0,51.0,1519.75
Tolima,fruto fresco,2018.0,294.95384615384614,2374.117948717949
Tolima,grano seco,2018.0,330.6507936507937,679.7142857142857
Tolima,hoja fresca,2018.0,12.333333333333334,34.333333333333336
Tolima,hortaliza fresca,2018.0,30.066666666666666,479.1
Tolima,latex seco,2018.0,80.0,232.5
Tolima,leguminosa fresca,2018.0,46.0,114.85714285714286
Tolima,paddy verde,2018.0,2511.409090909091,18059.227272727272
Tolima,panela,2018.0,401.0740740740741,2506.4444444444443
Tolima,semilla,2018.0,447.1111111111111,1239.4444444444443
Tolima,tuberculo fresco,2018.0,211.49056603773585,2512.9245283018868
Valle del cauca,cafe verde equivalente,2018.0,1238.6153846153845,1273.5384615384614
Valle del cauca,caña para molienda,2018.0,4629.8,706346.9666666667
Valle del cauca,fibra seca,2018.0,1.5,19.0
Valle del cauca,forraje fresco,2018.0,15.6,556.6
Valle del cauca,fruto fresco,2018.0,121.74942528735632,1790.3172413793104
Valle del cauca,grano seco,2018.0,85.27631578947368,456.05263157894734
Valle del cauca,hoja fresca,2018.0,14.090909090909092,184.33333333333334
Valle del cauca,hortaliza fresca,2018.0,16.797687861271676,320.02312138728325
Valle del cauca,leguminosa fresca,2018.0,20.071428571428573,174.67857142857142
Valle del cauca,paddy verde,2018.0,283.0,1758.142857142857
Valle del cauca,panela,2018.0,177.2,1180.7142857142858
Valle del cauca,semilla,2018.0,66.0,200.5
Valle del cauca,semilla oleaginosa,2018.0,17.1,48.3
Valle del cauca,tuberculo fresco,2018.0,28.314814814814813,394.2037037037037
Vaupes,fruto fresco,2018.0,38.125,221.25
Vaupes,grano seco,2018.0,78.0,168.66666666666666
Vaupes,hortaliza fresca,2018.0,18.0,18.0
Vaupes,melaza,2018.0,20.0,47.0
Vaupes,paddy verde,2018.0,10.0,10.0
Vaupes,panela,2018.0,34.5,172.5
Vaupes,tuberculo fresco,2018.0,360.4,2114.8
Vichada,aceite crudo,2018.0,2366.6666666666665,9519.333333333334
Vichada,fruto fresco,2018.0,165.27272727272728,863.8181818181819
Vichada,grano seco,2018.0,722.75,2114.875
Vichada,hortaliza fresca,2018.0,2.5,12.0
Vichada,paddy verde,2018.0,52.0,131.0
Vichada,panela,2018.0,41.0,506.75
Vichada,semilla oleaginosa,2018.0,5.5,10.5
Vichada,tuberculo fresco,2018.0,193.75,2132.5
